NAME,CensusReporter_Link
1,https://censusreporter.org/profiles/14000US18141000100-census-tract-1-st-joseph-in/
2,https://censusreporter.org/profiles/14000US18141000200-census-tract-2-st-joseph-in/
3.01,https://censusreporter.org/profiles/14000US18141000301-census-tract-301-st-joseph-in/
3.02,https://censusreporter.org/profiles/14000US18141000302-census-tract-302-st-joseph-in/
4,https://censusreporter.org/profiles/14000US18141000400-census-tract-4-st-joseph-in/
5,https://censusreporter.org/profiles/14000US18141000500-census-tract-5-st-joseph-in/
6,https://censusreporter.org/profiles/14000US18141000600-census-tract-6-st-joseph-in/
7,https://censusreporter.org/profiles/14000US18141000700-census-tract-7-st-joseph-in/
8,https://censusreporter.org/profiles/14000US18141000800-census-tract-8-st-joseph-in/
9,https://censusreporter.org/profiles/14000US18141000900-census-tract-9-st-joseph-in/
10,https://censusreporter.org/profiles/14000US18141001000-census-tract-10-st-joseph-in/
11,https://censusreporter.org/profiles/14000US18141001100-census-tract-11-st-joseph-in/
12,https://censusreporter.org/profiles/14000US18141001200-census-tract-12-st-joseph-in/
13,https://censusreporter.org/profiles/14000US18141001300-census-tract-13-st-joseph-in/
14,https://censusreporter.org/profiles/14000US18141001400-census-tract-14-st-joseph-in/
15,https://censusreporter.org/profiles/14000US18141001500-census-tract-15-st-joseph-in/
16,https://censusreporter.org/profiles/14000US18141001600-census-tract-16-st-joseph-in/
17,https://censusreporter.org/profiles/14000US18141001700-census-tract-17-st-joseph-in/
19,https://censusreporter.org/profiles/14000US18141001900-census-tract-19-st-joseph-in/
20,https://censusreporter.org/profiles/14000US18141002000-census-tract-20-st-joseph-in/
21,https://censusreporter.org/profiles/14000US18141002100-census-tract-21-st-joseph-in/
22,https://censusreporter.org/profiles/14000US18141002200-census-tract-22-st-joseph-in/
23,https://censusreporter.org/profiles/14000US18141002300-census-tract-23-st-joseph-in/
24,https://censusreporter.org/profiles/14000US18141002400-census-tract-24-st-joseph-in/
25,https://censusreporter.org/profiles/14000US18141002500-census-tract-25-st-joseph-in/
26,https://censusreporter.org/profiles/14000US18141002600-census-tract-26-st-joseph-in/
27,https://censusreporter.org/profiles/14000US18141002700-census-tract-27-st-joseph-in/
28,https://censusreporter.org/profiles/14000US18141002800-census-tract-28-st-joseph-in/
29,https://censusreporter.org/profiles/14000US18141002900-census-tract-29-st-joseph-in/
30,https://censusreporter.org/profiles/14000US18141003000-census-tract-30-st-joseph-in/
31,https://censusreporter.org/profiles/14000US18141003100-census-tract-31-st-joseph-in/
32,https://censusreporter.org/profiles/14000US18141003200-census-tract-32-st-joseph-in/
33,https://censusreporter.org/profiles/14000US18141003300-census-tract-33-st-joseph-in/
34,https://censusreporter.org/profiles/14000US18141003400-census-tract-34-st-joseph-in/
35,https://censusreporter.org/profiles/14000US18141003500-census-tract-35-st-joseph-in/
101,https://censusreporter.org/profiles/14000US18141010100-census-tract-101-st-joseph-in/
102.01,https://censusreporter.org/profiles/14000US18141010201-census-tract-10201-st-joseph-in/
102.02,https://censusreporter.org/profiles/14000US18141010202-census-tract-10202-st-joseph-in/
103,https://censusreporter.org/profiles/14000US18141010300-census-tract-103-st-joseph-in/
104,https://censusreporter.org/profiles/14000US18141010400-census-tract-104-st-joseph-in/
105,https://censusreporter.org/profiles/14000US18141010500-census-tract-105-st-joseph-in/
106,https://censusreporter.org/profiles/14000US18141010600-census-tract-106-st-joseph-in/
107,https://censusreporter.org/profiles/14000US18141010700-census-tract-107-st-joseph-in/
108,https://censusreporter.org/profiles/14000US18141010800-census-tract-108-st-joseph-in/
109.01,https://censusreporter.org/profiles/14000US18141010901-census-tract-10901-st-joseph-in/
109.02,https://censusreporter.org/profiles/14000US18141010902-census-tract-10902-st-joseph-in/
110.01,https://censusreporter.org/profiles/14000US18141011001-census-tract-11001-st-joseph-in/
110.02,https://censusreporter.org/profiles/14000US18141011002-census-tract-11002-st-joseph-in/
111,https://censusreporter.org/profiles/14000US18141011100-census-tract-111-st-joseph-in/
112.03,https://censusreporter.org/profiles/14000US18141011203-census-tract-11203-st-joseph-in/
113.03,https://censusreporter.org/profiles/14000US18141011303-census-tract-11303-st-joseph-in/
113.04,https://censusreporter.org/profiles/14000US18141011304-census-tract-11304-st-joseph-in/
113.05,https://censusreporter.org/profiles/14000US18141011305-census-tract-11305-st-joseph-in/
113.06,https://censusreporter.org/profiles/14000US18141011306-census-tract-11306-st-joseph-in/
113.07,https://censusreporter.org/profiles/14000US18141011307-census-tract-11307-st-joseph-in/
113.08,https://censusreporter.org/profiles/14000US18141011308-census-tract-11308-st-joseph-in/
113.09,https://censusreporter.org/profiles/14000US18141011309-census-tract-11309-st-joseph-in/
113.10,https://censusreporter.org/profiles/14000US18141011310-census-tract-11310-st-joseph-in/
114.03,https://censusreporter.org/profiles/14000US18141011403-census-tract-11403-st-joseph-in/
114.04,https://censusreporter.org/profiles/14000US18141011404-census-tract-11404-st-joseph-in/
114.05,https://censusreporter.org/profiles/14000US18141011405-census-tract-11405-st-joseph-in/
114.06,https://censusreporter.org/profiles/14000US18141011406-census-tract-11406-st-joseph-in/
115.01,https://censusreporter.org/profiles/14000US18141011501-census-tract-11501-st-joseph-in/
115.03,https://censusreporter.org/profiles/14000US18141011503-census-tract-11503-st-joseph-in/
115.04,https://censusreporter.org/profiles/14000US18141011504-census-tract-11504-st-joseph-in/
115.05,https://censusreporter.org/profiles/14000US18141011505-census-tract-11505-st-joseph-in/
115.06,https://censusreporter.org/profiles/14000US18141011506-census-tract-11506-st-joseph-in/
116.02,https://censusreporter.org/profiles/14000US18141011602-census-tract-11602-st-joseph-in/
116.03,https://censusreporter.org/profiles/14000US18141011603-census-tract-11603-st-joseph-in/
116.04,https://censusreporter.org/profiles/14000US18141011604-census-tract-11604-st-joseph-in/
117.01,https://censusreporter.org/profiles/14000US18141011701-census-tract-11701-st-joseph-in/
117.03,https://censusreporter.org/profiles/14000US18141011703-census-tract-11703-st-joseph-in/
117.04,https://censusreporter.org/profiles/14000US18141011704-census-tract-11704-st-joseph-in/
118.01,https://censusreporter.org/profiles/14000US18141011801-census-tract-11801-st-joseph-in/
118.03,https://censusreporter.org/profiles/14000US18141011803-census-tract-11803-st-joseph-in/
118.04,https://censusreporter.org/profiles/14000US18141011804-census-tract-11804-st-joseph-in/
119,https://censusreporter.org/profiles/14000US18141011900-census-tract-119-st-joseph-in/
120,https://censusreporter.org/profiles/14000US18141012000-census-tract-120-st-joseph-in/
121,https://censusreporter.org/profiles/14000US18141012100-census-tract-121-st-joseph-in/
122,https://censusreporter.org/profiles/14000US18141012200-census-tract-122-st-joseph-in/
123,https://censusreporter.org/profiles/14000US18141012300-census-tract-123-st-joseph-in/
124,https://censusreporter.org/profiles/14000US18141012400-census-tract-124-st-joseph-in/
