Pantry Name,Address,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Recurring Hours,Age requirement,What to Bring,Wheelchair accessible?,How to Get Food,How Often You Can Visit?,Who Can Get Food,Languages,Link
Helping Hands @ Bourbon First UMC,"204 N Washington St, Bourbon, IN 46504",,,1:00 pm - 3:00 pm,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: 1:00 pm - 3:00 pm | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,,English,"https://www.google.com/maps/search/?api=1&query=204 N Washington St, Bourbon, IN 46504"
Culver Community Pantry,"307 N Plymouth St, Culver, IN 46511",,10:00 am - 12:00 pm,,,,,,Monday: Hours currently Unavailable | Tuesday: 10:00 am - 12:00 pm | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,Students and families in school district: Culver Community School District,English,"https://www.google.com/maps/search/?api=1&query=307 N Plymouth St, Culver, IN 46511"
Lifepoint Church Inc.,"1006 S 16th St, Goshen, IN 46526",8:30 am - 12:00 pm,8:30 am - 12:00 pm,8:30 am - 12:00 pm,8:30 am - 12:00 pm,,,,Monday: 8:30 am - 12:00 pm | Tuesday: 8:30 am - 12:00 pm | Wednesday: 8:30 am - 12:00 pm | Thursday: 8:30 am - 12:00 pm | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=1006 S 16th St, Goshen, IN 46526"
East Goshen Mennonite Food Pantry/Bread Of Life,"2019 E Lincoln Ave, Goshen, IN 46528",,9:00 am - 12:00 pm,,,,,,Monday: Hours currently Unavailable | Tuesday: 9:00 am - 12:00 pm | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,"One photo ID or document showing proof of address (mail, lease, rent receipt) required",Yes,Drive up | Walk in,,City residents only: Goshen Residents Only,English,"https://www.google.com/maps/search/?api=1&query=2019 E Lincoln Ave, Goshen, IN 46528"
The Window Food Pantry,"223 S Main St, Goshen, IN 46526",1:00 pm - 3:30 pm,9:00 am - 10:30 am,,"9:00 am - 10:30 am, 3:00 pm - 5:00 pm",1:00 pm - 1:30 pm,,,"Monday: 1:00 pm - 3:30 pm | Tuesday: 9:00 am - 10:30 am | Wednesday: Hours currently Unavailable | Thursday: 9:00 am - 10:30 am, 3:00 pm - 5:00 pm | Friday: 1:00 pm - 1:30 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,,Yes,,Once per month,County residents only: Elkhart County,English,"https://www.google.com/maps/search/?api=1&query=223 S Main St, Goshen, IN 46526"
The Window - Katie's Kitchen,"223 S Main St, Goshen, IN 46526",1:00 pm - 4:00 pm,"1:00 pm - 4:00 pm, 9:00 am - 10:30 am",1:00 pm - 4:00 pm,"1:00 pm - 6:00 pm, 9:00 am - 10:30 am",1:00 pm - 4:00 pm,,,"Monday: 1:00 pm - 4:00 pm | Tuesday: 1:00 pm - 4:00 pm, 9:00 am - 10:30 am | Wednesday: 1:00 pm - 4:00 pm | Thursday: 1:00 pm - 6:00 pm, 9:00 am - 10:30 am | Friday: 1:00 pm - 4:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,,,,,County residents only: Elkhart County,English,"https://www.google.com/maps/search/?api=1&query=223 S Main St, Goshen, IN 46526"
Goshen Salvation Army,"1013 N Main St, Goshen, IN 46528","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm","9:00 am - 12:00 pm, 1:00 pm - 4:00 pm",,,"Monday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Tuesday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Wednesday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Thursday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Friday: 9:00 am - 12:00 pm, 1:00 pm - 4:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,State-issued photo ID required,,Walk in,,"City residents only: Goshen, New Paris, Millersburg, Nappanee, and Wakarusa | Within boundaries",English,"https://www.google.com/maps/search/?api=1&query=1013 N Main St, Goshen, IN 46528"
Country Church,"2951 9B Rd, Bourbon, IN 46504",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=2951 9B Rd, Bourbon, IN 46504"
Grace Food Pantry Of Bremen,"1237 W Plymouth St, Bremen, IN 46506",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,County residents only: Marshall County,English,"https://www.google.com/maps/search/?api=1&query=1237 W Plymouth St, Bremen, IN 46506"
Nappanee Open Door Pantry,"292 S Main St, Nappanee, IN 46550",9:00 am - 11:00 am,9:00 am - 11:00 am,"9:00 am - 11:00 am, 4:00 pm - 6:00 pm",9:00 am - 11:00 am,9:00 am - 11:00 am,,,"Monday: 9:00 am - 11:00 am | Tuesday: 9:00 am - 11:00 am | Wednesday: 9:00 am - 11:00 am, 4:00 pm - 6:00 pm | Thursday: 9:00 am - 11:00 am | Friday: 9:00 am - 11:00 am | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,,,,,Students and families in school district: WaNee School District,English,"https://www.google.com/maps/search/?api=1&query=292 S Main St, Nappanee, IN 46550"
Family Christian Development Center,"107 E Marion St., Nappanee, IN 46550",,1:00 pm - 3:45 pm,,1:00 pm - 6:00 pm,,,,Monday: Hours currently Unavailable | Tuesday: 1:00 pm - 3:45 pm | Wednesday: Hours currently Unavailable | Thursday: 1:00 pm - 6:00 pm | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,Yes,,,Students and families in school district,English,"https://www.google.com/maps/search/?api=1&query=107 E Marion St., Nappanee, IN 46550"
The Center Food Pantry,"107 E Marion St, Nappanee, IN 46550",,1:00 pm - 3:45 pm,,1:00 pm - 6:00 pm,,,,Monday: Hours currently Unavailable | Tuesday: 1:00 pm - 3:45 pm | Wednesday: Hours currently Unavailable | Thursday: 1:00 pm - 6:00 pm | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,Students and families in school district,English,"https://www.google.com/maps/search/?api=1&query=107 E Marion St, Nappanee, IN 46550"
Nappanee Church of the Brethren,"301 Mack Drive, Nappanee, IN 46650",4:30 pm - 5:30 pm,Closed,Closed,4:30 pm - 5:30 pm,Closed,Closed,Closed,Monday: 4:30 pm - 5:30 pm | Tuesday: Closed | Wednesday: Closed | Thursday: 4:30 pm - 5:30 pm | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,Yes,Walk in,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=301 Mack Drive, Nappanee, IN 46650"
Eagle Creek Church Of Christ - Joseph Plan Food Pantry,"6770 N. Michigan Rd., Plymouth, IN 46514",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,State-issued photo ID required,,Walk in,,Within boundaries: N-71st St./Westlane Rd.; S-62nd St./Michigan Rd./64th St.; E-Grandview St.; W-Guion Rd.,English,"https://www.google.com/maps/search/?api=1&query=6770 N. Michigan Rd., Plymouth, IN 46514"
Bristol Community Food Pantry,"101 W Vistula St, Bristol, IN 46507",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,"One document showing proof of address (mail, lease, rent receipt) required",Yes,Walk in,Once per month,Township residents only: Washington Township,Spanish,"https://www.google.com/maps/search/?api=1&query=101 W Vistula St, Bristol, IN 46507"
Middlebury Food Pantry,"13307 Co Rd 16, Middlebury, IN 46540",,,,,,8:30 am - 11:00 am,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: 8:30 am - 11:00 am | Sunday: Hours currently Unavailable,All ages welcome,State-issued photo ID required,,Drive up,Once per month,Open to all,English,"https://www.google.com/maps/search/?api=1&query=13307 Co Rd 16, Middlebury, IN 46540"
Heart City Health,"236 Simpson Ave, Elkhart, IN 46516",9:00 am - 3:00 pm,9:00 am - 3:00 pm,9:00 am - 3:00 pm,9:00 am - 3:00 pm,9:00 am - 3:00 pm,,,Monday: 9:00 am - 3:00 pm | Tuesday: 9:00 am - 3:00 pm | Wednesday: 9:00 am - 3:00 pm | Thursday: 9:00 am - 3:00 pm | Friday: 9:00 am - 3:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,No documents required,Yes,,,,Spanish | On call interpreters,"https://www.google.com/maps/search/?api=1&query=236 Simpson Ave, Elkhart, IN 46516"
Elkhart Salvation Army,"300 N Main St, Elkhart, IN 46516",1:00 pm - 3:00 pm,,8:30 am - 11:45 am,,7:00 am - 3:00 pm,,,Monday: 1:00 pm - 3:00 pm | Tuesday: Hours currently Unavailable | Wednesday: 8:30 am - 11:45 am | Thursday: Hours currently Unavailable | Friday: 7:00 am - 3:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,"State-issued photo ID required | One document showing proof of address (mail, lease, rent receipt) required | Birth certificates are required for all household members",Yes,,,,English,"https://www.google.com/maps/search/?api=1&query=300 N Main St, Elkhart, IN 46516"
God's Kitchen,"216 N 2nd St, Elkhart, IN 46516",,5:00 pm - 6:00 pm,,5:00 pm - 6:00 pm,,,,Monday: Hours currently Unavailable | Tuesday: 5:00 pm - 6:00 pm | Wednesday: Hours currently Unavailable | Thursday: 5:00 pm - 6:00 pm | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=216 N 2nd St, Elkhart, IN 46516"
Guidance Ministries,"216 N. 2nd St., Elkhart, IN 46516",Closed,12:00 pm - 3:30 pm,Closed,Closed,Closed,Closed,Closed,Monday: Closed | Tuesday: 12:00 pm - 3:30 pm | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,State-issued photo ID required | Birth certificates are required for all household members,,Walk in,,County residents only: Elkhart County,English,"https://www.google.com/maps/search/?api=1&query=216 N. 2nd St., Elkhart, IN 46516"
St. John's Episcopal,"226 West Lexington Ave., Elkhart, IN 46516",Closed,Closed,8:30 am - 10:00 am,Closed,Closed,8:30 am - 10:00 am,Closed,Monday: Closed | Tuesday: Closed | Wednesday: 8:30 am - 10:00 am | Thursday: Closed | Friday: Closed | Saturday: 8:30 am - 10:00 am | Sunday: Closed,All ages welcome,State-issued photo ID required,,Walk in,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=226 West Lexington Ave., Elkhart, IN 46516"
Faith Mission,"801 Benham Ave, Elkhart, IN 46516","12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm","12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm","12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm","12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm","12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm","12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm","12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm","Monday: 12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm | Tuesday: 12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm | Wednesday: 12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm | Thursday: 12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm | Friday: 12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm | Saturday: 12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm | Sunday: 12:30 pm - 1:00 pm, 5:00 pm - 5:30 pm",All ages welcome,,,,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=801 Benham Ave, Elkhart, IN 46516"
Shepherd's Cove Food Pantry,"1010 E Mishawaka Road, Elkhart, IN 46517",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,State-issued photo ID required,,Walk in,Once per month,County residents only: Elkhart County,English,"https://www.google.com/maps/search/?api=1&query=1010 E Mishawaka Road, Elkhart, IN 46517"
Kingdom Business Almsgiving International Ministries Food Pantry in New Creation,"24255 Huron St, South Bend, IN 46619",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,No documents required,Yes,Walk in,Twice per month,Open to all,On call interpreters,"https://www.google.com/maps/search/?api=1&query=24255 Huron St, South Bend, IN 46619"
Hand 2 Hand Pantry,"4614 W Western Ave, South Bend, IN 46619",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,State-issued photo ID required,,Drive up,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=4614 W Western Ave, South Bend, IN 46619"
God's Grace Food Pantry Of Laymen Chapel CME,"303 South Kenmore St., South Bend, IN 46619",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,Birth certificates are required for all household members,,Walk in,Once per month,Open to all,English,"https://www.google.com/maps/search/?api=1&query=303 South Kenmore St., South Bend, IN 46619"
New Carlisle Community Food Pantry,"300 Compton St, New Carlisle, IN 46552",Closed,Closed,Closed,Closed,10:00 am - 12:00 pm,Closed,Closed,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: 10:00 am - 12:00 pm | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,,Drive up,,County residents only: St. Joseph County & LaPorte County,English,"https://www.google.com/maps/search/?api=1&query=300 Compton St, New Carlisle, IN 46552"
Greater St. John Missionary Baptist Church,"101 N. Adams St., South Bend, IN 46628",10:00 am - 11:00 am,Closed,Closed,Closed,Closed,Closed,Closed,Monday: 10:00 am - 11:00 am | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,"One document showing proof of address (mail, lease, rent receipt) required",,Walk in,Once per month,Open to all,English,"https://www.google.com/maps/search/?api=1&query=101 N. Adams St., South Bend, IN 46628"
Christ Temple Apostolic,"2307 Elwood Ave, South Bend, IN 46628",Closed,Closed,Closed,Closed,Closed,Closed,Closed,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,,Drive up,,Residents in zip code: 46628,English,"https://www.google.com/maps/search/?api=1&query=2307 Elwood Ave, South Bend, IN 46628"
Community Food Pantry of St Joseph County,"702 Chapin St, South Bend, IN 46601",9:00 am - 2:00 pm,Closed,11:00 am - 5:00 pm,Closed,9:00 am - 2:00 pm,Closed,Closed,Monday: 9:00 am - 2:00 pm | Tuesday: Closed | Wednesday: 11:00 am - 5:00 pm | Thursday: Closed | Friday: 9:00 am - 2:00 pm | Saturday: Closed | Sunday: Closed,All ages welcome,"One photo ID or document showing proof of address (mail, lease, rent receipt) required",,Walk in,Once per month,County residents only: St Joseph and surrounding counties,English,"https://www.google.com/maps/search/?api=1&query=702 Chapin St, South Bend, IN 46601"
Church Without Walls,"731 Wagner Ave., Elkhart, IN 46516",Closed,Closed,Closed,10:00 am - 12:00 pm,Closed,Closed,Closed,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 10:00 am - 12:00 pm | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,State-issued photo ID required,,Drive up,Once per month,County residents only: Elkhart County,English,"https://www.google.com/maps/search/?api=1&query=731 Wagner Ave., Elkhart, IN 46516"
Church Community Services,"907 Oakland Ave., Elkhart, IN 46516",11:00 am - 3:00 pm,,11:00 am - 3:00 pm,"11:00 am - 3:00 pm, 4:00 pm - 7:00 pm",,,,"Monday: 11:00 am - 3:00 pm | Tuesday: Hours currently Unavailable | Wednesday: 11:00 am - 3:00 pm | Thursday: 11:00 am - 3:00 pm, 4:00 pm - 7:00 pm | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable",All ages welcome,No documents required,Yes,Walk in,,County residents only: Elkhart County,Spanish | English,"https://www.google.com/maps/search/?api=1&query=907 Oakland Ave., Elkhart, IN 46516"
Susanna's Kitchen,"831 W Marion St, Elkhart, IN 46516",11:00 am - 12:00 pm,11:00 am - 12:00 pm,11:00 am - 12:00 pm,11:00 am - 12:00 pm,11:00 am - 12:00 pm,,,Monday: 11:00 am - 12:00 pm | Tuesday: 11:00 am - 12:00 pm | Wednesday: 11:00 am - 12:00 pm | Thursday: 11:00 am - 12:00 pm | Friday: 11:00 am - 12:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,No documents required,Yes,Walk in,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=831 W Marion St, Elkhart, IN 46516"
Radiant Life Church,"54820 Co Rd. 1, Elkhart, IN 46514",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,State-issued photo ID required,Yes,Walk in,,County residents only: Elkhart County,Spanish,"https://www.google.com/maps/search/?api=1&query=54820 Co Rd. 1, Elkhart, IN 46514"
Clay Church Food Pantry,"17646 Cleveland Rd., South Bend, IN 46635",12:00 pm - 3:00 pm,Closed,Closed,9:00 am - 12:00 pm,Closed,Closed,Closed,Monday: 12:00 pm - 3:00 pm | Tuesday: Closed | Wednesday: Closed | Thursday: 9:00 am - 12:00 pm | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,"State-issued photo ID required | One document showing proof of address (mail, lease, rent receipt) required",Yes,Drive up,,County residents only: St. Joseph County,Spanish,"https://www.google.com/maps/search/?api=1&query=17646 Cleveland Rd., South Bend, IN 46635"
Praise Fellowship / Needs for Neighbors,"54301 Maple Ln, South Bend, IN 46635",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,"State-issued photo ID required | One photo ID or document showing proof of address (mail, lease, rent receipt) required",,Walk in,,,English,"https://www.google.com/maps/search/?api=1&query=54301 Maple Ln, South Bend, IN 46635"
"Mac Pantry, Albright United Methodist Church","504 W Mishawaka Ave, Mishawaka, IN 46545",,6:00 pm - 7:30 pm,,,10:00 am - 11:30 am,,,Monday: Hours currently Unavailable | Tuesday: 6:00 pm - 7:30 pm | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: 10:00 am - 11:30 am | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,,,,,"Residents in zip code: 46544, 46545,46561, 46530, 46615",English,"https://www.google.com/maps/search/?api=1&query=504 W Mishawaka Ave, Mishawaka, IN 46545"
Mishawaka Food Pantry,"315 Lincolnway W, Mishawaka, IN 46544",10:00 am - 2:00 pm,10:00 am - 2:00 pm,10:00 am - 2:00 pm,10:00 am - 2:00 pm,10:00 am - 2:00 pm,,,Monday: 10:00 am - 2:00 pm | Tuesday: 10:00 am - 2:00 pm | Wednesday: 10:00 am - 2:00 pm | Thursday: 10:00 am - 2:00 pm | Friday: 10:00 am - 2:00 pm | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,"State-issued photo ID required | One document showing proof of address (mail, lease, rent receipt) required | Proof of Income",,,,"Residents in zip code: 46544, 46545, 46561, 46530",English,"https://www.google.com/maps/search/?api=1&query=315 Lincolnway W, Mishawaka, IN 46544"
Saving Grace Advocacy,"405 W Beardsley Ave, Elkhart, IN 46514",,,5:30 pm - 6:30 pm,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: 5:30 pm - 6:30 pm | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,No documents required,,Walk in,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=405 W Beardsley Ave, Elkhart, IN 46514"
First Brethren Church of South Bend,"4909 S Ironwood Dr, South Bend, IN 46614",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,State-issued photo ID required,,Drive up,Once per month,County residents only: St Joseph County,English,"https://www.google.com/maps/search/?api=1&query=4909 S Ironwood Dr, South Bend, IN 46614"
Catholic Charities,"1817 Miami Street, South Bend, IN 46613",Closed,Closed,"10:00 am - 12:00 pm, 5:00 pm - 7:00 pm",Closed,Closed,Closed,Closed,"Monday: Closed | Tuesday: Closed | Wednesday: 10:00 am - 12:00 pm, 5:00 pm - 7:00 pm | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed",All ages welcome,,,Walk in,,County residents only: St Joseph County,English,"https://www.google.com/maps/search/?api=1&query=1817 Miami Street, South Bend, IN 46613"
Broadway Christian Parish,"1412 Carroll St, South Bend, IN 46613",,8:30 am - 10:30 am,8:30 am - 10:30 am,8:30 am - 10:30 am,,,,Monday: Hours currently Unavailable | Tuesday: 8:30 am - 10:30 am | Wednesday: 8:30 am - 10:30 am | Thursday: 8:30 am - 10:30 am | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,State-issued photo ID required,Yes,Walk in,,,undefined,"https://www.google.com/maps/search/?api=1&query=1412 Carroll St, South Bend, IN 46613"
Sunnyside Presbyterian Church,"115 S. Frances St., South Bend, IN 46617",9:30 am - 11:30 am,Closed,Closed,9:30 am - 11:30 am,Closed,Closed,Closed,Monday: 9:30 am - 11:30 am | Tuesday: Closed | Wednesday: Closed | Thursday: 9:30 am - 11:30 am | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,,Drive up,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=115 S. Frances St., South Bend, IN 46617"
St. Vincent De Paul Society Of St. Joseph County,"520 Crescent Ave, South Bend, IN 46617",Closed,10:00 am - 2:00 pm,Closed,10:00 am - 2:00 pm,Closed,Closed,Closed,Monday: Closed | Tuesday: 10:00 am - 2:00 pm | Wednesday: Closed | Thursday: 10:00 am - 2:00 pm | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,"One document showing proof of address (mail, lease, rent receipt) required | State-issued photo ID required",,Walk in,,County residents only: St Joseph County,English,"https://www.google.com/maps/search/?api=1&query=520 Crescent Ave, South Bend, IN 46617"
Faith Baptist Food Pantry,"925 Blaine Ave, South Bend, IN 46616",Closed,3:00 pm - 5:00 pm,Closed,Closed,Closed,Closed,Closed,Monday: Closed | Tuesday: 3:00 pm - 5:00 pm | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,,,,"Residents in zip code: 46601, 46616, 46628",English,"https://www.google.com/maps/search/?api=1&query=925 Blaine Ave, South Bend, IN 46616"
Downtown Soup Kitchen,"333 N. Main Street, South Bend, IN 46601",11:30 am - 12:30 pm,Closed,11:30 am - 12:30 pm,Closed,11:30 am - 12:30 pm,Closed,Closed,Monday: 11:30 am - 12:30 pm | Tuesday: Closed | Wednesday: 11:30 am - 12:30 pm | Thursday: Closed | Friday: 11:30 am - 12:30 pm | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,Yes,Walk in,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=333 N. Main Street, South Bend, IN 46601"
"First United Methodist Church, South Bend","333 N Main St, South Bend, IN 46601",11:30 am - 12:30 pm,Closed,11:30 am - 12:30 pm,Closed,11:30 am - 12:30 pm,Closed,Closed,Monday: 11:30 am - 12:30 pm | Tuesday: Closed | Wednesday: 11:30 am - 12:30 pm | Thursday: Closed | Friday: 11:30 am - 12:30 pm | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,Yes,Walk in,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=333 N Main St, South Bend, IN 46601"
Berean Church,"601 W Colfax Ave, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,All ages welcome,State-issued photo ID required,,Walk in,,Open to all,English,"https://www.google.com/maps/search/?api=1&query=601 W Colfax Ave, South Bend, IN 46601"
St. Margaret's House Soup Kitchen,"117 N Lafayette Boulevard, South Bend, IN 46601",10:00 am - 4:00 pm,10:00 am - 4:00 pm,10:00 am - 4:00 pm,10:00 am - 4:00 pm,10:00 am - 4:00 pm,Closed,Closed,Monday: 10:00 am - 4:00 pm | Tuesday: 10:00 am - 4:00 pm | Wednesday: 10:00 am - 4:00 pm | Thursday: 10:00 am - 4:00 pm | Friday: 10:00 am - 4:00 pm | Saturday: Closed | Sunday: Closed,All ages welcome,No documents required,Yes,Walk in,,County residents only: Women only,Spanish,"https://www.google.com/maps/search/?api=1&query=117 N Lafayette Boulevard, South Bend, IN 46601"
