Pantry Name,Address,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Recurring Hours,Age requirement,What to Bring,Wheelchair accessible?,How to Get Food,How Often You Can Visit?,Who Can Get Food,Languages,Link
Maranatha Missionary Baptist Church,"1819 Prairie Ave, South Bend, IN 46613",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1819 Prairie Ave, South Bend, IN 46613"
MARIAN UNIVERSITY’S ANCILLA COLLEGE,"20097 9B Road Plymouth, IN 46563",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=20097 9B Road Plymouth, IN 46563"
Marshall County Neighborhood Center,"402 W Garro St, Plymouth, IN 46563",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=402 W Garro St, Plymouth, IN 46563"
Miami Hill Apartments,"3534 High Street, South Bend, IN 46614",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=3534 High Street, South Bend, IN 46614"
Miami Village Church,"1905 Miami St, South Bend, IN 46613",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1905 Miami St, South Bend, IN 46613"
Michiana Christian Community,"1217 S. Logan, South Bend, IN 46615",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1217 S. Logan, South Bend, IN 46615"
Miracle Lyfe Foundation (Lexys Cradle of Love),"1323 Miami Street, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1323 Miami Street, South Bend, IN 46601"
Monastery of the Holy Martyrs,"1000 South Michigan Street, Plymouth, IN 46563",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1000 South Michigan Street, Plymouth, IN 46563"
Navarre Middle School,"4702 Ford St, South Bend IN 46619",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=4702 Ford St, South Bend IN 46619"
NE Neighborhood Center,"803 N Notre Dame Avenue, South Bend, IN 46617",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=803 N Notre Dame Avenue, South Bend, IN 46617"
New Beginnings Church of Deliverance,"1817 S Ironwood Dr, South Bend, IN 46613",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1817 S Ironwood Dr, South Bend, IN 46613"
New Carlisle Food Pantry,"300 E. Compton St, New Carlisle, IN 46552",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=300 E. Compton St, New Carlisle, IN 46552"
Northern Indiana Atheists,"503 South Michigan Street, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=503 South Michigan Street, South Bend, IN 46601"
Oak Haven,"500 S Montgomery St Bremen, IN 46506",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=500 S Montgomery St Bremen, IN 46506"
Oak Street Health,"4401 W. Western Ave, South Bend, IN 46619",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=4401 W. Western Ave, South Bend, IN 46619"
Oaklawn Psychiatric Center - Oaklawn,"415 E Madison St, South Bend, IN 46617",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=415 E Madison St, South Bend, IN 46617"
Oliver Apartments - Oaklawn,"924 W. Indiana Ave. South Bend, 46613",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=924 W. Indiana Ave. South Bend, 46613"
Opengate Food Pantry,"173 Division St. Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=173 Division St. Elkhart, IN 46516"
Our Lady of the Road,"744 South Main St, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=744 South Main St, South Bend, IN 46601"
Plymouth Baptist,"11345 9A Road, Plymouth, IN 46563",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=11345 9A Road, Plymouth, IN 46563"
Progressive Missionary Baptist Church (PMBC),"1232 E Bronson Street, South Bend, IN 46615",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1232 E Bronson Street, South Bend, IN 46615"
Project Scope,"1333 West Lusher Ave, Elkhart, IN 46517",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1333 West Lusher Ave, Elkhart, IN 46517"
Real Services,"1151 S. Michigan St. South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1151 S. Michigan St. South Bend, IN 46601"
RETA Pregnancy Clinic & Family Resources,"116 W. Jackson Blvd, Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=116 W. Jackson Blvd, Elkhart, IN 46516"
River Bend Cancer Services,"3516 E Jefferson Blvd, South Bend, IN 46615",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=3516 E Jefferson Blvd, South Bend, IN 46615"
River Park United Methodist Church,"920 S. 23rd St. South Bend, In 46615",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=920 S. 23rd St. South Bend, In 46615"
Robertson's Apartments,"211 S. Michigan St, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=211 S. Michigan St, South Bend, IN 46601"
Robinson Community Learning Center,"1004 Eddy St., South Bend, IN 46617",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1004 Eddy St., South Bend, IN 46617"
Ronald McDonald House,"610 N Michigan St; Suite 310, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=610 N Michigan St; Suite 310, South Bend, IN 46601"
S.A.K.A.L the Center,"430 N 2nd St, Elkhart, IN 46514",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=430 N 2nd St, Elkhart, IN 46514"
Serenity House,"30240 County Road 22, Plymouth, IN 46517",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=30240 County Road 22, Plymouth, IN 46517"
Shepherd's Food Pantry Argos United Methodist Church,"570 N. Michigan St. Argos, IN 46501",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=570 N. Michigan St. Argos, IN 46501"
Society of St. Vincent de Paul at St. Joseph Catholic Parish,"220 W 4th Street, Mishawaka, IN 46544",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=220 W 4th Street, Mishawaka, IN 46544"
Spa Ministries Homes,"3404 Toledo Road, Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=3404 Toledo Road, Elkhart, IN 46516"
St Adalbert & St. Casimir Conference,"2505 W Grace St, South Bend, IN 46619",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=2505 W Grace St, South Bend, IN 46619"
St Augustine Parish,"1501 W Washington St, South Bend, IN 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1501 W Washington St, South Bend, IN 46628"
St Joe County Health Dept - Maternal Infant Health,"227 W. Jefferson Boulevard, South Bend IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=227 W. Jefferson Boulevard, South Bend IN 46601"
St Joe County Public Library,"304 S Main St, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=304 S Main St, South Bend, IN 46601"
St Paul Bethel Missionary Baptist Church,"621 Lindsey St, South Bend, IN 46616",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=621 Lindsey St, South Bend, IN 46616"
St Vincent de Paul - Christ the King,"52473 S R 933, South Bend, IN 46637",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=52473 S R 933, South Bend, IN 46637"
"St Vincent de Paul - St Joe Parrish, South Bend","701 E. Colfax, South Bend, IN 46617",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=701 E. Colfax, South Bend, IN 46617"
St Vincent de Paul - St Pius,"52553 N Fir Rd, Granger, IN 46530",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=52553 N Fir Rd, Granger, IN 46530"
St Vincent de Paul - St Thomas,"1108 S Main St, Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1108 S Main St, Elkhart, IN 46516"
St. Paul Lutheran Church South Bend,"51490 Laurel Road, South Bend, IN 46637",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=51490 Laurel Road, South Bend, IN 46637"
Storehouse Food Pantry,"2221 S. Ironwood Drive, South Bend, IN 46613",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=2221 S. Ironwood Drive, South Bend, IN 46613"
Strengthening Indiana Families,"612 E. Bristol Street, Elkhart, IN 46514",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=612 E. Bristol Street, Elkhart, IN 46514"
The Center,"107 E Marion St, Nappanee, IN 46550",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=107 E Marion St, Nappanee, IN 46550"
The Grace Place,"401 S Main St, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=401 S Main St, South Bend, IN 46601"
The Hub Bristol,"101 W Vistula St, Bristol, IN 46507",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=101 W Vistula St, Bristol, IN 46507"
The Village Community Center,"215 E Indiana Ave Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=215 E Indiana Ave Elkhart, IN 46516"
The Walorski Family Foundation,"5936 Barcus Way, South Bend, IN 46614",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=5936 Barcus Way, South Bend, IN 46614"
Tolson Center,"1320 Benham Ave, Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1320 Benham Ave, Elkhart, IN 46516"
Transformation Ministries,"1519 Portage Avenue, South Bend, IN 46616",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1519 Portage Avenue, South Bend, IN 46616"
Unity Gardens,"3701 Prast Blvd, South Bend, IN 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=3701 Prast Blvd, South Bend, IN 46628"
Upper Room Recovery Cafe,"333 N Main St, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=333 N Main St, South Bend, IN 46601"
Village Food Pantry,"55501 Moss Rd, South Bend, 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=55501 Moss Rd, South Bend, 46628"
West Side Church of Christ,"22987 Edison Rd, South Bend, IN 46628",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=22987 Edison Rd, South Bend, IN 46628"
World Harvest Church,"1610 S. Nappanee St, Elkhart, IN 46516",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1610 S. Nappanee St, Elkhart, IN 46516"
Youth Services Bureau of St Joe County,"2222 Lincoln Way W, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=2222 Lincoln Way W, South Bend, IN 46601"
YWCA,"1202 Fellows Street, South Bend, IN 46601",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=1202 Fellows Street, South Bend, IN 46601"
The Window - Katie's Kitchen,"223 S Main St, Goshen, IN 46526",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=223 S Main St, Goshen, IN 46526"
South Gate Food Pantry,"3717 S Michigan St, South Bend, IN 46614",,,,,,,,Monday: Hours currently Unavailable | Tuesday: Hours currently Unavailable | Wednesday: Hours currently Unavailable | Thursday: Hours currently Unavailable | Friday: Hours currently Unavailable | Saturday: Hours currently Unavailable | Sunday: Hours currently Unavailable,,,,,,,,"https://www.google.com/maps/search/?api=1&query=3717 S Michigan St, South Bend, IN 46614"