NAME,Male,Female,,,,,,,,,,
201.01,8.0216,6.6213,,,,,,,,,,
201.02,0.6235,1.9486,,,,,,,,,,
202.01,6.3704,7.0123,,,,,,,,,,
202.02,2.5084,1.9843,,,,,,,,,,
203.01,5.4047,4.8938,,,,,,,,,,
203.02,4.4649,11.9557,,,,,,,,,,
204,2.4263,8.8145,,,,,,,,,,
205,5.5375,9.9200,,,,,,,,,,
206,6.9091,9.7416,,,,,,,,,,
207.01,1.5094,3.1350,,,,,,,,,,
207.02,2.5641,4.6013,,,,,,,,,,
208,4.0720,4.9432,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,